movieId,movieName,nbMentions
77267,Fighter in the Wind (2004),1
77293,A Wrinkle in Time ,184
77306,Oklahoma  (1979),4
77330,Cleopatra  (1970),1
77352,Harold and Maude (1971),1
77358,Black Beauty  (1994),4
77363,Encino Man (1992),4
77376,Full Metal Jacket (1987),45
77384,American Pie Presents: Band Camp,1
77388,Shade  (2003),3
77415,How the West Was Won  (1962),1
77455,Citizen Kane (1941),30
77478,Yes  (2004),2
77485,Contract  (2008),1
77521,Triangle  (2009),1
77542,Contact  (1997),10
77552,"We, the Women (1953)",1
77576,The Librarians  (2001),1
77597,Along Came Polly,17
77609,17 Again  (2009),5
77610,Sky High  (2003),2
77627,Abraham Lincoln: Vampire Hunter (2012),3
77628,Leprechaun  (1993),10
77636,Fred  (2014),1
77651,Peter Pan  (2003),3
77666,The World's End  (2013),8
77670,Star Trek Into Darkness (2013),6
77684,Indiana Jones and the Last Crusade (1989),25
77693,Wolf Creek  (2005),2
77696,The Heist  (2008),1
77697,White House Down (2013),25
77707,WALL-E (2008),73
77737,The Humanoid (1979),2
77747,National Treasure ,2
77785,Ring 2 (1999),3
77788,Clerks (1994),20
77793,Prom Night  (1980),4
77798,A Perfect Murder (1998),9
77806,Stuck on You  (2003),3
77818,Live Free or Die  (2006),4
77866,In Good Company  (2004),1
77867,The Ring  (2017),10
77868,The Expendables ,3
77888,Four Sisters and a Wedding (2013),2
77894,Cars 3  (2009),1
77898,Spy Game (2001),2
77905,Fatal Bond (1992),1
77910,Strange Wilderness (2008),1
77918,War Room  (2015),7
77925,Ong-Bak: Muay Thai Warrior (2003),4
77945,Akira  (1988),14
77946,A Low Down Dirty Shame (1994),1
77983,Black Mass  (2015),13
77986,The First Power (1990),1
78010,Death Wish  (1974),9
78019,Kagemusha (1980),7
78035,The Double Life of Veronique (1991),1
78058,Wish I Was Here (2014),1
78062,Robin Hood  (1991),2
78076,Ed Wood  (1994),1
78099,Wood Love (1925),1
78108,Enemy  (2015),1
78132,Joe Dirt 2: Beautiful Loser (2015),5
78154,Chiko (2008),1
78168,Willy Wonka & the Chocolate Factory (1971),35
78172,The Terminal (2004),11
78186,Scary Movie (2000),98
78201,Texas Chainsaw 3D (2013),19
78207,Run Fatboy Run (2007),3
78233,The Producers  (2005),3
78241,Halloweentown ,2
78267,The Room  (2003),16
78326,Billy Elliot (2000),1
78340,Deadpool  (2016),447
78343,The Ghost and the Darkness (1996),2
78352,Burglar  (1987),1
78354,Soylent Green (1973),2
78361,Holy Water  (2009),1
78373,Percy Jackson ,1
78399,Houseful  (2009),2
78418,The Avengers  (2012),443
78426,Twisted  (2004),5
78436,Battlefield Earth  (2000),3
78445,Valentine  (2001),1
78453,Paprika  (2006),5
78475,Kingdom of Heaven  (2005),10
78479,Murder in the First  (1995),1
78480,The Green Mile  (1999),58
78491,Over the Top  (1987),3
78504,Superman II (1980),4
78510,The Slammin' Salmon (2009),3
78531,The Return of the Pink Panther (1975),3
78559,Much Ado About Nothing  (1993),3
78562,A Time to Kill  (1996),9
78566,The Incredible Invasion (1971),1
78634,The Host  (2013),13
78639,Criminal  (2016),1
78644,Taxi  (2004),6
78664,Zeitgeist  (2007),1
78665,Resolution  (2012),1
78670,They Live (1988),20
78673,I Think I Love My Wife (2007),1
78719,Saturday Night Fever (1977),3
78766,Snow White and the Seven Dwarfs  (1937),11
78779,Not Another Happy Ending (2013),15
78799,The In-Laws  (1979),1
78801,The Spy Next Door (2010),16
78804,The Shaggy Dog  (2006),4
78807,Paparazzi  (2004),2
78824,Psycho  (2008),2
78854,Looney Tunes Super Stars' Bugs Bunny: Wascally Wabbit,1
78869,Mom and Dad Save the World (1992),1
78874,Click  (2006),136
78887,Saw VI (2009),2
78888,Eraser  (1996),7
78925,Dusk to Dawn (1922),1
78926,Once Upon a Time in the West (1968),1
78929,The Adventures of Pinocchio  (1996),1
78943,Man-Proof (1938),1
78950,It's a Free World... (2007),1
78958,Norbit (2007),16
78977,The Haunting  (1999),10
79001,Outland  (1981),4
79045,Thelma ,4
79062,Alien  (1979),134
79072,Bullets over Broadway (1994),1
79106,Raging Bull (1980),10
79114,Uprising  (2001),1
79136,Dances with Wolves (1990),26
79142,For a Few Dollars More (1965),3
79153,Oz the Great and Powerful (2013),6
79187,Giant  (1956),1
79205,The Wild Geese (1978),2
79206,May  (2002),5
79266,Absolutely Anything (2015),14
79278,West Side Story  (1961),44
79284,Bitter Harvest  (2016),1
79289,The Parent Trap  (1961),12
79313,Open Season  (2006),1
79320,Contact  (2009),14
79341,The Other Sister (1999),3
79370,"The Way, Way Back (2013)",1
79379,Chicken Little  (2005),2
79385,Night of the Living Dead (1968),31
79401,Anatomy of a Murder (1959),2
79407,Mortal Kombat: Rebirth (2010),2
79408,Kubo and the Two Strings (2016),25
79421,Machete Kills (2013),2
79429,Cannibal! The Musical (1993),3
79439,Wild Thing  (1987),1
79451,Predator ,5
79464,The Tree of Life  (2011),1
79468,Dragnet  (1987),2
79512,Monster House  (2006),1
79543,Air Bud (1997),26
79553,The Disappearance of McKinley Nolan (2010),1
79665,Drag Me to Hell (2009),10
79689,"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",1
79698,The Hurt Locker (2008),37
79707,Fat Albert  (2004),2
79743,The Last Boy Scout (1991),13
79750,China  (2016),1
79752,8 Heads in a Duffel Bag (1997),17
79755,Bully  (2001),1
79779,Gran Torino (2008),29
79811,Homeward Bound II: Lost in San Francisco (1996),7
79815,We're Back! A Dinosaur's Story  (1993),1
79824,The Divergent Series: Insurgent (2015),9
79834,The Skeleton Key (2005),12
79851,The Mask (1988),31
79856,The Time Machine  (2002),2
79863,The Bible: In the Beginning... (1966),1
79888,Puncture  (2011),1
79894,The Debt  (2010),2
79924,The Gladiator  (1986),4
79935,Fifty Shades of Grey  (2015),54
79945,Deranged  (1974),1
79954,A Christmas Carol  (2009),2
79968,Split (2017),138
79978,Bully  (2011),1
79989,Cinderella  (1994),4
80009,The Amazing Spider-Man 2 (2014),3
80014,Maverick  (1994),4
80024,War of the Buttons  (2011),1
80038,Lady in White (1988),1
80067,Toy Story (1995),180
80074,Home for Christmas  (2010),1
80108,Can't Hardly Wait,11
80131,Omen  (2003),3
80133,Project A (1983),2
80178,Boy Wonder  (2010),1
80188,Planes: Fire & Rescue (2014),1
80203,Boat Trip  (2002),1
80208,The Devil Wears Prada  (2006),38
80213,A Serious Man (2009),1
80235,Jennifer's Body (2009),1
80240,Annie  (1982),16
80264,Zinda  (2006),3
80284,The Lion King II: Simba's Pride (1998),2
80289,Die ,1
80306,The Creeper  (1948),1
80325,Mission: Impossible ,28
80336,Annie  (2014),7
80429,Under the Shadow (2016),1
80442,Jaws in Japan (2009),1
80446,F  (2010),2
80448,Friday After Next (2002),6
80519,A Simple Plan  (1998),2
80534,I Am Really Sorry (1976),1
80576,Dragonball Evolution (2009),1
80587,The Handmaiden (2016),2
80598,All's Faire in Love (2009),2
80603,Godzilla: Tokyo S.O.S. (2003),1
80649,Moses  (1995),1
80683,The Cat and the Kit (1925),1
80685,Sister Act (1992),8
80691,Wild  (2016),8
80699,Anaconda  (1997),9
80716,Next of Kin  (1989),3
80769,Boiler Room  (2000),1
80811,Vengeance  (1968),1
80865,Early Man ,15
80886,"Good Morning, Vietnam (1987)",15
80918,The Cave  (2005),4
80966,Night Falls on Manhattan (1997),1
80981,The Great Beauty (2013),4
80985,Boo! A Madea Halloween (2016),12
81006,Police Academy ,1
81024,Third Man on the Mountain (1959),1
81075,We're the Millers (2013),44
81078,Cube 2: Hypercube (2002),1
81080,How to Train Your Dragon 2 (2014),6
81087,Holidays  (2016),1
81108,X (1986),1
81135,It Comes at Night (2017),52
81162,Friday  (1995),71
81165,Date with an Angel (1987),4
81196,The Pacifist  (1970),1
81209,Freebie and the Bean (1974),2
81232,Religulous (2008),3
81234,S (2012),12
81265,Them! (1954),3
81296,Movie 43 (2013),2
81307,Haunted Rooh (2016),1
81316,Johnny Be Good (1988),3
81317,Waiting for Forever (2010),1
81353,Once Upon a Time in China ,1
81385,Fargo  (1996),71
81415,The Mission  (1986),3
81416,The Man in the Moon (1991),1
81432,A Serbian Film (2010),1
81468,Annie  (1976),4
81469,The Rise of the Krays (2015),2
81474,Captain Corelli's Mandolin  (2001),3
81475,Triangle  (2009),3
81492,Dinosaur  (2000),10
81530,Black Beauty  (1971),1
81559,Lego Marvel Super Heroes: Maximum Overload (2013),1
81563,Batman Returns (1992),2
81568,Flight  (2012),1
81617,The Purple Rose of Cairo (1985),3
81625,Expelled from Paradise,1
81660,13 Going on 30 (2004),40
81669,Life  (2007),3
81702,Hall Pass,8
81715,The Importance of Being Earnest  (2002),1
81748,"Red Firecracker, Green Firecracker (1994)",1
81775,Never Say Die  (1939),2
81792,Zootopia,151
81805,Filth  (2013),1
81819,Monster  (2008),5
81860,Spirited Away,33
81865,The Treasure of the Sierra Madre  (1948),2
81878,A Quiet Place to Kill (1970),1
81881,Écoute voir (1979),1
81898,The Magnificent Nine,1
81916,Son of Flubber (1963),1
81919,Miss You Already (2015),1
81968,Rocky Balboa  (2006),1
82001,The Prophecy (1995),2
82020,The Killer Inside Me  (2010),4
82022,Perfume  (2001),1
82029,Ruby Sparks (2012),2
82041,Prancer  (1989),1
82075,Cyborg X,2
82087,Last Days in Vietnam (2014),3
82145,How to Steal a Million (1966),1
82153,Super Size Me (2004),28
82201,Julia's Eyes (2010),1
82233,Top Secret! (1984),1
82284,The Client  (1994),7
82321,The Maltese Falcon  (1941),8
82330,Wallace & Gromit: The Curse of the Were-Rabbit (2005),6
82346,Into Temptation  (2009),1
82353,Memories of Murder (2003),1
82380,The Hidden  (1987),1
82417,Wall Street  (1987),14
82419,The French Connection  (1971),12
82421,Coming Home  (1978),1
82430,Devil's Knot  (2013),1
82446,Something Wicked This Way Comes  (1983),1
82467,New Jersey Drive (1995),1
82473,The Haunting in Connecticut (2009),13
82476,What's Eating Gilbert Grape (1993),20
82484,Jacob and Esau ,1
82497,MASH  (1970),8
82536,Anonymous  (2011),1
82537,Conviction  (2010),2
82567,Hardcore Henry (2015),12
82569,The Wild Bunch (1969),3
82596,Psycho  (1998),2
82602,The Goonies (1985),99
82631,My Super Ex-Girlfriend,2
82641,The Equalizer  (2014),22
82650,Waco: A New Revelation (1999),5
82657,Into the Blue  (2005),1
82756,Stuart Little  (1999),5
82763,Death Race  (2008),20
82766,The Star of Santa Clara (1958),1
82775,When We First Met,8
82795,A Perfect World (1993),3
82808,Diary of a Wimpy Kid ,1
82830,Miles Ahead  (2015),1
82857,The Last Unicorn  (1982),3
82858,Cannibal  (2006),3
82871,Day of the Dead  (1985),1
82876,Sex and the City 2 (2010),2
82893,Cabin in the Sky  (1943),1
82894,Frozen (2013),220
82923,Minions  (2015),53
82955,Heist  (2015),4
82969,The Bear  (1988),1
82990,The Overnight (2015),2
83006,Day Watch  (2006),3
83057,Scream 4 (2011),8
83101,Free Fire (2016),2
83105,The Neon Demon (2016),4
83116,Can-Can  (1960),1
83132,Final Destination 5 (2011),3
83180,Acts of Worship  (2001),1
83192,What Lies Beneath (2000),25
83236,Ninja Scroll (1993),3
83243,The House  (1983),1
83274,It Could Happen to You  (1994),1
83305,Haunted House  (2004),6
83321,Jump  (1999),2
83343,The 10th Kingdom,2
83370,The Ruling Class  (1972),2
83388,Sleeping Beauty  (1959),4
83389,Ricochet  (1991),1
83396,Thief  (1981),3
83406,The Purge: Election Year (2016),14
83430,Buffy the Vampire Slayer  (1992),5
83436,The Thing  (2011),3
83451,All About My Mother (1999),1
83472,A Walk to Remember (2002),109
83489,Over the Edge  (1979),1
83539,The Bourne Identity  (1988),8
83552,Jumanji  (2017),731
83570,Night of Dark Shadows (1971),1
83582,Starcrash (1979),1
83586,The Amityville Horror  (1979),25
83617,Kevin Hart: Let Me Explain (2013),2
83624,Harry and the Hendersons (1987),8
83655,Table 19 (2017),1
83675,The New Swiss Family Robinson (1998),1
83716,Bananas  (1971),1
83749,Five Shaolin Masters (1974),2
83757,Mr. Holland's Opus (1995),3
83766,Primal Fear  (1996),27
83775,Showboy (2002),1
83789,Ella Enchanted  (2004),14
83790,Europa Report (2013),3
83814,True Grit  (2010),23
83853,Spanglish  (2004),13
83896,My Big Love (2008),1
83905,The Central Park Five (2012),1
83947,Strange Circus (2005),1
83948,Hancock  (2008),31
83951,Steel Magnolias  (2012),7
83976,The Magnificent Seven (1960),5
84001,Donnie Darko (2001),43
84003,127 Hours (2010),12
84007,Castaway  (1986),23
84009,Speed Racer  (2008),1
84026,Sleeping Beauty  (1995),1
84028,The Man Who Knew Too Much  (1956),3
84036,Hannibal  (1959),3
84097,Charlotte's Web  (2006),8
84100,Tank  (1984),1
84153,Slap Shot  (1977),5
84195,Cloverfield ,3
84201,Hiding Out (1987),1
84248,The City of Lost Children (1995),2
84269,Houseguest (1995),1
84273,Pineapple Express  (2008),182
84310,Justice League: Gods and Monsters (2015),1
84332,The Wizard  (1989),2
84339,Instructions Not Included (2013),1
84363,Paranormal Activity 2 (2010),9
84379,Mickey's Magical Christmas: Snowed in at the House of Mouse,3
84387,Before I Fall  (2017),3
84411,Tunisian Victory,1
84422,Ghost Rider  (2007),6
84434,Heaven & Earth  (1993),1
84436,Godfather  (2007),1
84456,Girlfight (2000),2
84473,Diva  (1981),1
84488,First Kill (2001),3
84517,The Long Voyage Home (1940),1
84524,Smiley  (2012),1
84553,Fist of Fury ,1
84561,Swimfan (2002),2
84571,The Human Centipede 3  (2015),1
84597,Alien 2: On Earth (1980),1
84704,The Wedding Game (2009),1
84710,Jobs  (2013),3
84766,Flatliners  (2017),9
84769,Birdman  (2014),14
84772,Solitary Man  (2009),1
84779,The Triplets of Belleville (2003),1
84788,Manos: The Hands of Fate (1966),2
84798,Pretty Woman (1990),228
84823,Noel  (2004),2
84828,Two Weeks Notice,18
84831,It  (1966),15
84837,Vertigo  (1958),23
84839,Dracula 2012 (2013),1
84847,The Secret in Their Eyes (2009),3
84853,Shaft  (2000),1
84854,Beauty and the Beast  (2017),167
84875,The To Do List (2013),1
84903,Futurama: Bender's Big Score,1
84907,Guys and Dolls  (1955),2
84953,Heidi  (1965),2
84974,Adventures of Captain Marvel (1941),1
85003,Simon Birch (1998),2
85036,The Matrix (1999),270
85059,The Breadwinner  (2017),4
85079,Teenage Mutant Ninja Turtles III (1993),1
85082,The Astronaut's Wife (1999),2
85103,Haunted Mansion  (1998),1
85106,The Prisoner  (2013),1
85120,The Player  (1992),2
85127,Dora  (2016),1
85159,Little Nicky (2000),28
85183,The Summit  (2012),2
85195,The Great Gilly Hopkins  (2015),1
85198,Dahmer  (2002),1
85204,When Ladies Meet  (1933),1
85258,Because of You  (1952),1
85265,Bichhoo (2000),1
85298,K2  (1991),2
85301,Patch Adams  (1998),19
85303,The Babysitter (1995),2
85414,Big Top Pee-wee (1988),1
85417,The Brave Little Toaster (1987),13
85423,This Is 40 (2012),23
85430,The Falls (1980),1
85442,7 Days in Havana (2012),2
85502,A Haunted House (2013),3
85564,The Black Panther  (1921),1
85566,Confessions of a Teenage Drama Queen (2004),1
85575,54  (1998),1
85577,Fools Rush In  (1949),1
85612,The Texas Chain Saw Massacre (1974),41
85637,American Gangster  (2007),23
85645,The Judge  (2014),4
85648,Into Thin Air: Death on Everest (1997),7
85662,The Mummy  (2017),51
85665,I Love You Phillip Morris (2009),4
85668,The Ninth Gate (1999),1
85739,Freddy Got Fingered (2001),4
85748,Escape  (2012),1
85750,Due Date,33
85753,Society  (1989),1
85755,Spetters (1980),1
85764,Kick-Ass ,2
85799,Men  (1997),1
85804,The Thriller (2010),1
85811,Rolling Thunder  (1977),1
85832,The Mummy Returns (2001),3
85851,Bandits  (1997),1
85863,The Rage: Carrie 2 (1999),1
85868,Inspector Gadget  (1999),3
85875,Harry Potter and the Chamber of Secrets  (2002),11
85879,Cliffhanger  (1993),11
85908,Sol Goode (2001),3
85925,From the Hip  (1987),1
85951,Austin Powers in Goldmember (2002),5
85961,In the Heart of the Sea  (2015),10
85963,Backdraft  (1991),1
85971,Dragon: The Bruce Lee Story (1993),1
86002,"Love, Rosie  (2014)",1
86045,Wings  (1927),1
86104,The Piano (1993),5
86128,Dragon Tiger Gate (2006),2
86152,Spy Kids (2001),9
86164,Ayn Rand: A Sense of Life (1996),1
86168,Black Sheep  (1996),16
86191,Under the Tuscan Sun  (2003),8
86222,Nothing like the Holidays (2008),1
86240,Puppets  (1916),1
86245,District 9 (2009),39
86246,Godfather  (1991),29
86268,Dudley Do-Right  (1999),1
86272,G.I. Joe: The Rise of Cobra (2009),1
86345,JeruZalem (2015),9
86357,Red Dust  (2004),1
86397,Batman Forever (1995),13
86414,Children of the Corn  (1984),21
86428,The Departed (2006),88
86438,The Howling  (1981),3
86439,The Death of Stalin,3
86442,American Psycho 2 (2002),1
86449,The Net  (1995),7
86490,Predators  (2010),9
86506,The Jungle Book  (1994),3
86536,Indian Summer  (1993),1
86569,The Ten Commandments  (1956),5
86573,Nanny McPhee (2005),4
86576,Take the Money and Run (1969),3
86619,The World According to Garp  (1982),3
86652,Race to Witch Mountain (2009),2
86699,Pain & Gain (2013),5
86728,Thoracocare,2
86733,Tarzan & Jane (2002),1
86772,Five Children and It  (2004),1
86815,Drumline  (2002),3
86819,Return of the Living Dead ,1
86827,Ed  (1996),2
86831,Bride of Chucky (1998),17
86837,Smurfs: The Lost Village (2017),4
86838,Finding Kind (2011),1
86841,Death Proof (2007),6
86844,Ninja Over the Great Wall (1987),1
86879,Ruz (2009),1
86889,Spies  (1943),1
86912,And Then There Were None  (1974),1
86923,A River Runs Through It  (1992),6
86927,W  (2014),8
86934,The Inn of the Sixth Happiness (1958),4
86940,The Duff (2015),10
86986,Rudolph and Frosty's Christmas in July,2
86987,Incarnate  (2016),1
86995,Legion  (2010),3
87017,Love at Sea  (1965),2
87033,G.I. Jane (1997),2
87048,It Came from Outer Space (1953),1
87060,Tom and Jerry: The Fast and the Furry,1
87064,Pets ,3
87081,Casino Royale ,2
87084,The Walking Dead  (1936),1
87090,Changeling  (2008),23
87092,King Kong  (1933),3
87094,Hollywood Homicide (2003),1
87114,God's Not Dead 2 (2016),1
87115,Pocahontas  (1995),18
87132,Black Mask 2: City of Masks (2002),1
87156,Underworld: Awakening (2012),1
87161,The Last Man on Earth  (1964),1
87178,Beethoven's 4th  (2001),1
87187,Whisper of the Heart,2
87193,The Sitter (2011),3
87208,Sing! (2001),3
87223,Hotel Transylvania (2012),17
87231,Weekend  (2011),1
87249,The Toxic Avenger  (1984),3
87270,The Gnome-Mobile (1967),1
87294,Lilo & Stitch,24
87296,Z movie,1
87385,Spartan  (2004),1
87411,Magnolia  (1999),4
87413,Journey 2: The Mysterious Island (2012),4
87451,3 Days to Kill (2014),2
87457,Delivery Man ,3
87473,Silent Hill: Revelation (2012),2
87476,Rocky  (1981),3
87488,The Last Emperor (1987),2
87490,Dr. Strangelove (1964),23
87521,The Great Mouse Detective,2
87532,Wilson  (2017),1
87541,The Night of the Iguana  (1964),1
87608,The Temptress (1926),1
87612,The Train  (2011),2
87655,Brother Bear,1
87664,The Time Traveler's Wife  (2009),23
87672,The Man in the Iron Mask  (1998),2
87674,Broken Flowers (2005),4
87689,Blue Chips (1994),1
87741,Death Racers (2008),1
87745,Ocean's Thirteen (2007),14
87787,Lucas  (1986),7
87826,Sunshine Cleaning (2008),2
87864,Miracles from Heaven  (2016),7
87867,The Devil's Rejects (2005),25
87886,Raw  (2016),5
87891,Mixed Nuts (1994),1
87910,The Chef  (2012),4
87927,Carriers  (2009),1
87947,Why Did I Get Married%3F (2007),7
87954,One Fine Day  (1996),4
87999,I Kill Giants ,4
88002,National Lampoon's Pledge This!,1
88006,Just My Luck  (2006),1
88029,Tangled  (2001),2
88051,Knights of the Round Table  (1953),1
88102,Robbery  (2015),1
88113,Insidious: Chapter 2 (2013),12
88141,Saving Private Ryan (1998),210
88142,The Hours  (2002),2
88150,The Warlords (2007),1
88172,It's Kind of a Funny Story  (2010),7
88234,The Harvey Girls (1946),1
88257,Dutch  (1991),1
88267,True Romance (1993),23
88275,A Nightmare on Elm Street 5: The Dream Child (1989),4
88292,Dawn of the Dead  (1978),7
88309,Bull Durham,1
88393,Scary Movie ,17
88410,Seven Samurai (1954),1
88412,Brewster's Millions  (1985),3
88444,18 Again! (1988),1
88451,The Baby-Sitters Club  (1995),1
88463,Orphan  (2009),12
88467,Tango & Cash (1989),5
88469,The Phantom of the Opera  (1925),1
88484,Underworld: Blood Wars (2017),8
88486,Starman  (1984),4
88487,Juno (2007),97
88501,Night of the Comet (1984),1
88526,Snakes on a Plane (2006),12
88597,Black  (2015),8
88624,Bride Wars (2009),28
88628,Restrepo  (2010),8
88653,Paranormal Activity ,2
88655,9 to 5  (1980),11
88658,Jeepers Creepers 2 (2003),5
88661,Sideways (2004),1
88676,The Call  (2013),19
88700,Rookie of the Year  (1993),7
88703,Eclipse  (1994),1
88725,Dior and I (2014),1
88747,Jingle All the Way (1996),10
88751,The Ring  (2002),88
88774,Checking Out  (2005),1
88826,Way of the Dragon (1972),3
88833,Godzilla vs. Hedorah (1971),1
88849,Love Bite (2012),2
88936,Gamer  (2009),5
88957,High Fidelity  (2000),8
88960,The Naked Gun,46
89005,First Kid (1996),2
89034,The Queen of Versailles (2012),3
89085,Balls of Fury (2007),1
89109,Les Misérables  (1948),1
89114,Goldfinger  (1964),7
89128,"Oh, God! Book II (1980)",1
89158,K-9  (1989),1
89167,The Machinists (2010),2
89173,Despicable Me 2 (2013),14
89174,Pirate's Passage (2015),1
89176,Paul Blart: Mall Cop 2 (2015),15
89211,See No Evil 2 (2014),1
89213,Jaws ,3
89235,Meet the Parents  (2004),14
89306,Platoon  (1986),27
89307,Ghost  (1990),14
89313,Prom ,2
89352,The Pirate Movie (1982),1
89408,Nine Lives  (2016),2
89429,Rebecca  (1963),4
89486,Anne of Green Gables  (1985),4
89501,The Chronicles of Narnia ,23
89602,The Ugly Truth (2009),6
89631,Alice in Wondertown (1991),1
89659,Underworld: Evolution (2006),3
89668,World War Z ,48
89669,Football  (1982),1
89696,Marry Me  (1925),1
89697,Sudden Impact (1983),2
89725,Pitch Perfect 2 (2015),28
89770,The Number 23 (2007),15
89780,Logan's Run  (1976),3
89786,Night Monster (1942),2
89792,The Puppetmaster  (1993),1
89811,High Anxiety (1977),3
89815,Artifact  (2012),1
89838,The Fountain (2006),11
89839,Ride Along  (2014),42
89884,August: Osage County  (2013),8
89902,Coronado  (2003),1
89907,"The Long, Long Trailer (1954)",1
89921,Status Update,1
89930,The Lovers  (1994),1
89954,A Night at the Roxbury (1998),14
89960,S.W.A.T.: Firefight (2011),1
89965,Pippi Longstocking  (1949),1
89967,Teen Witch (1989),1
89973,Crooklyn (1994),3
89987,The Blue Lagoon  (1980),14
90010,Birdemic: Shock and Terror (2008),2
90026,The Texas Chainsaw Massacre: The Beginning (2006),5
90034,Man with a Movie Camera (1929),1
90076,Ghost Ship  (2002),12
90114,The Perfect Storm  (2000),10
90120,Doctor Strange  (2016),42
90141,My Dog Skip  (2000),5
90165,Why Me%3F  (2015),1
90181,Chicken Run (2000),1
90203,Piranha  (1978),2
90239,She-Devil (1989),3
90248,Jurassic World (2015),61
90253,The Waterboy (1998),104
90272,That Thing You Do!,5
90332,Along Came a Spider  (2001),19
90361,Meet the Parents  (2010),4
90370,Cold Prey (2006),1
90371,Fist of Legend (1994),3
90382,Shark Tale,4
90397,My Baby's Daddy (2004),1
90413,ZomBees (2008),1
90418,Memento Mori  (1999),3
90472,Major League  (1989),19
90483,Our Idiot Brother (2011),2
90486,Aliens  (1986),74
90552,The Lost Boys (1987),22
90582,Princess  (2006),1
90583,Father of the Bride Part II (1995),4
90591,Robin Hood: Men in Tights (1993),20
90603,Seventh Son  (2015),1
90633,His Girl Friday (1940),3
90675,Dark Shadows  (2012),7
90691,Eraserhead (1977),10
90692,Down and Out in Beverly Hills (1986),1
90747,She's All That (1999),19
90750,Kung Fu Panda 3 (2016),6
90766,This Is the End (2013),68
90768,Jihad: A Story of the Others (2015),2
90773,Green Room  (2015),5
90862,The Odd Life of Timothy Green (2012),1
90883,The Hitchhiker's Guide to the Galaxy ,4
90921,Paul  (2011),13
90950,Avatar  (2009),169
90967,Home Alone ,5
90969,Classified: The Edward Snowden Story,1
90975,The Score  (1978),1
90979,Varsity  (1928),1
90998,Airport  (1979),2
91015,Another Cinderella Story (2008),2
91025,Exam  (2009),4
91026,Wildcat  (1942),1
91030,Invaders from Mars  (1986),2
91050,The Little Hours,3
91074,Shutterdulai (2016),2
91076,Teenage Cave Man (1958),2
91087,Pop Star ,1
91089,The Addams Family  (1991),2
91095,Jill Rips (2000),1
91106,Mr. Wonderful  (1993),2
91112,Save the Last Dance (2001),17
91140,Truth or Dare  (2013),3
91141,The Hunger Games: Mockingjay – Part 2 (2015),15
91207,Sweet November  (2001),2
91227,Bewitched  (2005),1
